scorer,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000
bodyparts,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
96,688.0609879493713,-0.9479694366455078,7.152057719395088e-07,684.6472623348236,0.7790300846099854,2.836380872395239e-06,0.6061604022979736,4.454668879508972,3.0729873401469376e-07
97,653.0788292884827,-1.6354870796203613,7.673205573155428e-07,653.1618081331253,2.91894793510437,2.101494374073809e-06,656.7229151725769,3.546433597803116,4.239152531226864e-07
98,653.2358247041702,-1.4747905731201172,6.641087679781776e-07,684.5318333506584,0.8108470439910889,2.2169608655531192e-06,656.6463847160339,3.7792870104312897,3.6788554780287086e-07
99,653.5164059400558,-1.4306678771972656,5.430584906207514e-07,684.6602519154549,0.8608200550079346,2.514700327083119e-06,656.2563600540161,3.825970858335495,3.3705066471156897e-07
100,653.5603257417679,-1.2417140007019043,6.168341428747226e-07,684.4987296760082,1.0197865962982178,2.576468887127703e-06,656.3772706985474,3.7218959033489227,3.3948757049984124e-07
101,653.6079022884369,-1.415956974029541,6.851990406175901e-07,684.4823937416077,0.7239234447479248,2.2346321202348918e-06,656.5996809005737,3.5028956532478333,3.7855275536458066e-07
102,653.6280875205994,-1.4403915405273438,3.8628121501460555e-07,684.8184688091278,0.679556131362915,1.8989117052115034e-06,0.564917802810669,4.331490695476532,2.766771274309576e-07
103,653.5617573261261,-1.2032923698425293,6.32452099580405e-07,684.6711540818214,0.5714900493621826,2.8246199690329377e-06,656.2684574127197,3.187737762928009,3.454940156188968e-07
104,687.768251657486,-1.0619187355041504,6.478184104707907e-07,684.5812093615532,0.9428505897521973,3.548091626726091e-06,656.4254307746887,3.492478311061859,3.1932137289913953e-07
105,653.1635288000107,-1.7388134002685547,4.873021453022375e-07,684.9339199662209,0.7783880233764648,2.5054457637452288e-06,0.5446288585662842,4.267307251691818,3.017504468516563e-07
106,687.7529158592224,-0.9771595001220703,5.62923560210038e-07,684.6475868821144,0.8982455730438232,2.684870878510992e-06,0.5439810752868652,4.313646048307419,2.9840737170161447e-07
107,653.1454430818558,-1.686744213104248,7.181761816354992e-07,684.4901140332222,1.0736424922943115,2.9889829420426395e-06,656.3694725036621,3.4328560829162598,3.3771118523873156e-07
108,653.0300971269608,-1.5473270416259766,7.852390808693599e-07,684.2039548307657,1.14984130859375,2.6435334348207107e-06,656.5494561195374,3.617634028196335,3.836990458694345e-07
109,653.0996962785721,-1.7804808616638184,6.032024089108745e-07,684.467543810606,0.8113172054290771,2.2431536308431532e-06,656.69975233078,3.557632565498352,2.9401948609120154e-07
110,653.0745437145233,-1.7928352355957031,5.948039643044467e-07,684.3656696677208,1.115241289138794,2.1479409042513e-06,0.5990138053894043,4.256933391094208,2.909515046667366e-07
111,653.3998167514801,-1.84952974319458,6.704393058498681e-07,653.1591519117355,3.035838305950165,1.956196683750022e-06,656.4103679656982,3.792670503258705,3.3337622085127805e-07
