scorer,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000
bodyparts,stimulusLeft,stimulusLeft,stimulusLeft,stimulusRight,stimulusRight,stimulusRight,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
44,175.6008586883545,328.35482454299927,0.9999996423721313,1637.869305729866,753.2836427688599,0.9999998807907104,765.9073452949524,653.0362039804459,0.9999998807907104,758.1381034851074,637.6876304149628,1.0,770.1349114179611,621.8637508153915,1.0
45,177.8901722431183,327.192369222641,0.9999998807907104,1637.0398287773132,753.9051856994629,0.9999997615814209,766.3865842819214,653.2548792362213,0.9999998807907104,758.2420365810394,637.8739374876022,1.0,770.8793747425079,622.2555887699127,1.0
46,772.2302054017782,674.0347256660461,0.0019624887499958277,1.1817970275878906,2.8263429403305054,0.21812832355499268,765.9969722032547,653.0633140802383,0.9999998807907104,757.8832973241806,637.6001362800598,1.0,770.1356123685837,621.9205549955368,1.0
47,767.4687068462372,670.8166840076447,0.002678151708096266,1.0396003723144531,2.8820563554763794,0.10038097947835922,765.6091696023941,651.807206645608,0.9999998807907104,757.412519454956,637.2045933008194,1.0,770.2900632619858,621.4904074668884,1.0
48,772.148350790143,672.916953086853,0.0018387956079095602,0.8904294967651367,2.7784812450408936,0.0800098180770874,765.9251101016998,651.2267506718636,0.9999998807907104,757.2096903324127,635.878809928894,1.0,769.9837930202484,620.3819119632244,1.0
49,767.157068490982,670.3218944072723,0.0028585868421941996,0.7775440216064453,2.7821136713027954,0.07816286385059357,763.0629603266716,649.0730934143066,1.0,756.2083051502705,634.6677570343018,1.0,768.082147359848,618.5436056852341,1.0
50,767.6854639053345,669.1097986698151,0.0024384476710110903,1.1065747737884521,2.9047470092773438,0.08740951865911484,763.904346242547,648.0060782432556,1.0,756.5384923219681,633.1466727256775,1.0,768.1290144920349,617.5725479125977,1.0
51,180.5268537402153,331.0273434519768,0.050175148993730545,0.8987283706665039,2.8351309299468994,0.11749611794948578,762.9520809650421,647.4931616783142,1.0,755.8072454035282,632.9117946624756,1.0,767.5926184654236,617.4096179008484,1.0
52,767.8943312168121,668.2850781083107,0.001431256765499711,1.022780418395996,2.8426976203918457,0.17117680609226227,763.2010304927826,646.9643929004669,1.0,754.9817790985107,632.2375493049622,1.0,766.9630553722382,616.4366779327393,1.0
53,767.8091516494751,667.9047114774585,0.0018539521843194962,1.0387840270996094,2.7707786560058594,0.11400477588176727,762.7389855384827,646.2649657726288,1.0,754.5529656410217,632.2096524238586,1.0,766.306263923645,616.2423996925354,1.0
54,179.78784023225307,336.3499524593353,0.003050043946132064,1.0692996978759766,2.960913300514221,0.13939407467842102,760.4490733146667,646.2459733486176,1.0,753.3753895759583,632.1561312675476,1.0,764.821739256382,616.7826342582703,1.0
55,179.68557235598564,336.6901879310608,0.26508066058158875,1.099198341369629,2.9501670598983765,0.12162445485591888,761.9291138648987,647.2037599086761,1.0,752.2295980453491,634.1557874679565,1.0,763.7364104092121,617.7648491859436,1.0
