id,sex,condition,trial,object,position_object,startingframe,endingframe,distanceMoved,TOPCLOSE,TOP,CENTER,BOTTOM,BOTTOMCLOSE,frontalbottom,blindbottom,lateralLeftbottom,lateralRightbottom,LeftALLbottom,RightALLbottom,frontaltop,blindtop,lateralLefttop,lateralRighttop,LeftALLtop,RightALLtop,index_nan_no_stim,frames
1.0,female,example,1.0,red,top,179.0,1078.0,0.42,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.591,0.409,235.0,55.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.364,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.757,0.243,236.0,56.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.979,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.71,0.29,237.0,57.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.576,0.424,238.0,58.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.403,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.664,0.336,239.0,59.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.145,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.78,0.22,240.0,60.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.551,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.658,0.342,241.0,61.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.316,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.805,0.195,242.0,62.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.315,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.602,0.398,243.0,63.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.606,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.525,0.475,244.0,64.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.265,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.679,0.321,245.0,65.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.013,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.786,0.214,246.0,66.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.204,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,247.0,67.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.483,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.639,0.361,248.0,68.0
1.0,female,example,1.0,red,top,179.0,1078.0,2.521,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.744,0.256,249.0,69.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.986,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,250.0,70.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.263,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.497,0.503,251.0,71.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.793,0.0,0.0,0.0,0.0,1.0,0.0,0.985,0.015,0.0,0.015,0.0,1.0,0.0,0.0,0.0,0.231,0.769,252.0,72.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.914,0.0,0.0,0.0,0.0,1.0,0.0,0.969,0.031,0.0,0.031,0.0,1.0,0.0,0.0,0.0,0.231,0.769,253.0,73.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.245,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.409,0.591,254.0,74.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.109,0.0,0.0,0.0,0.0,1.0,0.0,0.926,0.074,0.0,0.074,0.0,1.0,0.0,0.0,0.0,0.177,0.823,255.0,75.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.09,0.0,0.0,0.0,0.0,1.0,0.0,0.982,0.018,0.0,0.018,0.0,1.0,0.0,0.0,0.0,0.333,0.667,256.0,76.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.32,0.0,0.0,0.0,0.0,1.0,0.0,0.959,0.041,0.0,0.041,0.0,1.0,0.0,0.0,0.0,0.233,0.767,257.0,77.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.598,0.0,0.0,0.0,0.0,1.0,0.0,0.995,0.005,0.0,0.005,0.0,1.0,0.0,0.0,0.0,0.348,0.652,258.0,78.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.769,0.0,0.0,0.0,0.0,1.0,0.0,0.994,0.006,0.0,0.006,0.0,1.0,0.0,0.0,0.0,0.417,0.583,259.0,79.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.852,0.0,0.0,0.0,0.0,1.0,0.0,0.878,0.122,0.0,0.122,0.0,1.0,0.0,0.0,0.0,0.061,0.939,260.0,80.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.699,0.0,0.0,0.0,0.0,1.0,0.0,0.84,0.16,0.0,0.16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,261.0,81.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.042,0.0,0.0,0.0,0.0,1.0,0.0,0.807,0.193,0.0,0.193,0.0,1.0,0.0,0.0,0.0,0.0,1.0,262.0,82.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.353,0.0,0.0,0.0,0.0,1.0,0.0,0.793,0.207,0.0,0.207,0.0,1.0,0.0,0.0,0.0,0.0,1.0,263.0,83.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.705,0.0,0.0,0.0,0.0,1.0,0.0,0.778,0.222,0.0,0.222,0.0,1.0,0.0,0.0,0.0,0.0,1.0,264.0,84.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.28,0.0,0.0,0.0,0.0,1.0,0.0,0.762,0.238,0.0,0.238,0.0,1.0,0.0,0.0,0.0,0.0,1.0,265.0,85.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.858,0.0,0.0,0.0,0.0,1.0,0.0,0.766,0.234,0.0,0.234,0.0,1.0,0.0,0.0,0.0,0.0,1.0,266.0,86.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.719,0.0,0.0,0.0,0.0,1.0,0.0,0.71,0.29,0.0,0.29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,267.0,87.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.606,0.0,0.0,0.0,0.0,1.0,0.0,0.699,0.301,0.0,0.301,0.0,1.0,0.0,0.0,0.0,0.0,1.0,268.0,88.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.883,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.33,0.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,269.0,89.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.652,0.0,0.0,0.0,0.0,1.0,0.0,0.638,0.362,0.0,0.362,0.0,0.943,0.0,0.0,0.057,0.0,1.0,270.0,90.0
1.0,female,example,1.0,red,top,179.0,1078.0,2.027,0.0,0.0,0.0,0.0,1.0,0.0,0.646,0.354,0.0,0.354,0.0,0.914,0.0,0.0,0.086,0.0,1.0,271.0,91.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.56,0.0,0.0,0.0,0.0,1.0,0.0,0.687,0.313,0.0,0.313,0.0,1.0,0.0,0.0,0.0,0.0,1.0,272.0,92.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.36,0.0,0.0,0.0,0.0,1.0,0.0,0.646,0.354,0.0,0.354,0.0,0.98,0.0,0.0,0.02,0.0,1.0,273.0,93.0
1.0,female,example,1.0,red,top,179.0,1078.0,2.803,0.0,0.0,0.0,0.0,1.0,0.0,0.677,0.323,0.0,0.323,0.0,1.0,0.0,0.0,0.0,0.0,1.0,274.0,94.0
1.0,female,example,1.0,red,top,179.0,1078.0,4.047,0.0,0.0,0.0,0.0,1.0,0.0,0.706,0.294,0.0,0.294,0.0,1.0,0.0,0.0,0.0,0.0,1.0,275.0,95.0
1.0,female,example,1.0,red,top,179.0,1078.0,7.256,0.0,0.0,0.0,0.0,1.0,0.0,0.677,0.323,0.0,0.323,0.0,1.0,0.0,0.0,0.0,0.0,1.0,276.0,96.0
